package,version,root_cause
dataclasses-json,0.5.2,reason2
datadog,0.42.0,reason2
dbt-core,0.21.0,reason2
dd,0.5.6,reason2
deepwalk,v1.0.2,reason2
degree72-requests,2.24.0,reason2
dependency-injector,4.36.0,reason2
dialogflow,1.1.0,reason2
dictobject,1.1.1,reason2
diskcache,5.2.1,reason2
djangae,1.0.0,reason2
django-admin-sortable2,1,reason2
django-background-tasks,1.2.5,reason2
django-dynamic-fixture,3.1.1,reason2
django-enumfields,2.1.1,reason2
django-environ,0.8.1,reason2
django-etc,1.3.0,reason2
django-geojson,3.2.0,reason2
django-health-check,3.16.1,reason2
django-jet,1.0.8,reason2
django-picklefield,3.0.1,"reason2,3"
django-pipeline,2.0.5,reason2
django-ratelimit,3.0.1,reason2
django-redis-cache,3.0.0,reason2
django-river,3.3.0,reason2
django-role-permissions,3.1.1,reason2
django-seed,0.3.0,reason2
django-sitegate,1.3.1,reason2
django-sitetree,1.17.0,reason2
django-tinymce,3.3.0,reason2
django-webtest,1.9.7,reason2
djangorestframework-gis,0.17,reason2
djongo,1.3.3,reason2
dlorenc-requests,2.24.4,reason2
dnspython,2.1.0,reason2
dockerpty,0.4.1,reason2
documenttemplate,4,reason2
docxtpl,0.14.2,reason2
dominate,2.6.0,reason2
dotmap,1.3.23,reason2
dotty-dict,1.3.0,reason2
draftjs-exporter,4.1.1,reason2
dramatiq,1.12.0,reason2
easyprocess,0.3,reason2
ecdsa,0.17.0,"reason2,3"
elastic-apm,6.6.0,reason2
elasticsearch,7.15.0,reason2
elasticsearch-dsl,7.4.0,reason2
eliot,1.13.0,reason2
enlighten,1.10.1,reason2
ensure,1.0.0,reason2
envoy,0.0.3,reason2
evdev,1.4.0,reason2
eventlet,0.32.0,"reason1,2"
eventsourcing,9.1.0,reason2
expiringdict,1.2.1,reason2
fabric3,1.14.post1,reason2
fastecdsa,2.2.1,reason2
fido2,0.9.0,reason2
fire,0.4.0,reason2
fitparse,1.2.0,reason2
flake8-import-order,0.18.1,reason2
flask-caching,1.10.1,reason2
flask-cors,3.0.9,reason2
flask-graphql,2.0.0,reason3
flask-openid,1.3.0,reason2
flask-restful,0.3.8,reason2
flask-sqlalchemy,2.5.1,reason2
flatbuffers,2,reason2
flex,6.14.1,reason2
fs,2.4.11,reason2
funcy,1.16,reason2
future,0.18.2,reason2
futures,3.3.0,reason2
galaxy-util,21.1.0,reason2
gallery-dl,1.19.0,reason2
geventhttpclient,1.5.1,reason2
gitdb,4.0.5,reason2
gitpython,3.1.11,reason2
gkeepapi,0.13.3,reason2
glom,20.11.0,reason2
google-pasta,0.2.0,reason2
gpiozero,1.6.2,"reason1,2"
gql,2.0.0,"reason2,3"
graphene,2.1.8,"reason2,3"
graphene-django,2.15.0,reason3
graphene-sqlalchemy,2.3.0,"reason2,3"
graphql-ws,0.4.4,"reason2,3"
grpclib,0.4.0,reason2
gspread,4.0.1,reason2
hacking,4.1.0,reason2
halo,0.0.31,reason2
hearthstone,5.45.0,reason2
hjson,3.0.2,reason2
honcho,1.0.1,reason2
html5lib,1.1,reason2
httplib2,0.20.1,reason2
httpretty,1.1.0,reason2
huawei-lte-api,1.5.0,reason2
huey,2.4.0,reason2
humanfriendly,10,reason2
humilis,1.5.10,reason2
hupper,1.10.2,reason2
hyperlink,21.0.0,reason2
hyperopt,0.2.5,reason2
hypothesis,6.24.0,reason2
i3ipc,2.2.1,reason2
ifaddr,0.1.7,reason2
ijson,3.1.3,reason2
imageio-ffmpeg,0.4.2,reason2
impacket,0.9.22,reason2
imutils,0.5.3,reason2
indicoio,1.4.1,reason2
inquirer,2.7.0,reason2
intervals,0.9.0,reason1
intervaltree,3.1.0,reason2
invenio-pidstore,1.2.1,reason2
invoke,1.6.0,reason2
ipyevents,2.0.1,reason3
isbnlib,3.10.4,reason2
jedi,0.18.0,reason2
jinja2,3.0.1,reason2
jmespath,0.10.0,reason2
js2py,0.71,reason2
json-rpc,1.13.0,reason2
json-tricks,3.15.5,reason1
jsonpickle,2.0.0,reason2
jsonref,0.2,reason1
julia,0.5.6,reason2
junos-eznc,2.6.0,reason2
jwcrypto,1,reason2
kafka-python,2.0.2,reason2
keras,2.6.0,reason2
kmapper,2.0.0,reason2
kombu,5.1.0,reason2
langid,1.1.5,reason2
lark-parser,0.12.0,reason2
lazy-object-proxy,1.6.0,reason2
ldap3,2.9,reason2
lesscpy,0.15.0,reason2
libcst,0.3.15,reason2
libtmux,0.10.1,reason2
lmdb,1.2.1,"reason1,2"
loky,3.0.0,reason2
mageserver,1.0.3,reason2
mail-parser,3.15.0,reason2
mako,1.1.3,reason2
marshmallow-dataclass,8.5.3,reason2
marshmallow-enum,1.5.1,reason2
mechanize,0.4.5,reason1
memory-profiler,0.58.0,reason2
mercantile,1.2.1,reason2
meta,1.0.2,reason2
micawber,0.5.1,reason2
microcosm-flask,3.6.1,reason2
minio,7.1.0,reason2
