number,package,version,incompatible python version,resource type
156,python-cjson,1.2.2,3.7,
157,python-lambda,11.8.0,2.7,gz
158,pytorch-pretrained-bert,0.6.2,2.7,
159,pytrends,4.7.3,2.7,gz
160,quantaxis,1.10.1,3.10,
161,requestsaa,0.1.2,2.7,
162,robotframework-appiumlibrary,1.6,2.7,
163,sentencepiece,0.1.94,3.10,
164,seqeval,1.2.2,2.7,gz
165,shap,0.40.0,2.7,gz
166,simpleaudio,1.0.4,3.7,
167,tartiflette,1.4.0,3.10,
168,tensor2tensor,1.15.7,2.7,
169,tensorlayer,2.2.3,2.7,whl
170,tlslite-ng,0.8.0,3.7,
171,tpot,0.11.6.post3,2.7,gz
172,trufflehog,2.2.1,2.7,whl
173,tsfresh,0.18.0,3.5,whl
174,unyt,2.8.0,3.5,
175,wfdb,3.4.1,2.7,gz
176,xonsh,0.10.0,3.7,
177,xpinyin,0.7.4,2.7,gz
178,zipline,1.4.1,3.7,
179,adafruit-circuitpython-esp32spi,3.5.3,2.7,gz
180,adafruit-circuitpython-framebuf,1.4.3,2.7,gz
181,adafruit-circuitpython-motor,3.3.0,2.7,gz
182,adafruit-circuitpython-pca9685,3.3.2,2.7,gz
183,adapt-parser,1.0.0,2.7,gz
184,ai2thor,3.5.1,2.7,whl
185,airsim ,1.6.0,3.7,gz
186,allennlp,2.7.0,3.10,whl
187,alpha-vantage,2.3.1,2.7,gz
188,amcrest,1.9.3,2.7,gz
189,astropy,4.3.1,3.10,gz
190,autokeras,1.0.12,2.7,gz
191,awslimitchecker,12.0.0,2.7,whl
192,baselines,0.1.5,3.7,gz
193,beanstalkc,0.4.0,3.7,gz
194,bigchaindb,2.2.2,3.10,gz
195,buildozer,1.2.0,2.7,gz
196,credstash,1.17.1,2.7,gz
197,cysystemd,1.4.5,3.10,gz
198,dask-jobqueue,0.7.2,3.5,whl
199,dask-ml,2021.10.17,3.6,whl
200,datadog-checks-dev,15.1.0,3.5,whl
201,dataflows,0.3.2,2.7,whl
202,datashader,0.13.0,2.7,whl
203,dedupe,2.0.6,2.7,gz
204,dimod,0.10.6,3.10,gz
205,django-categories,1.8,2.7,whl
206,django-celery-email,3.0.0,2.7,whl
207,django-cms,3.9.0,2.7,whl
208,djangocms-link,3.0.0,2.7,gz
209,django-debug-toolbar-request-history,0.1.3,2.7,whl
210,django-hijack,3.1.1,2.7,gz
211,django-markup,1.5,2.7,whl
212,django-organizations,2.0.0,2.7,whl
213,django-post-office,3.5.2,2.7,gz
214,django-rest-framework-social-oauth2,1.1.0,2.7,gz
215,django-user-sessions,1.7.1,2.7,whl
